betroffene_anlage,location,matched_id,id_source,n_members,total_mw,method,confidence,lat,lon
SHN Cluster Husum Nord,husum,"134093,148461,57704,57705,60295,67737,77395",index,7,9.8,cluster_name,high,54.48,9.0524
SHN Cluster Wilster West,wilster,"143269,143270,143271,4681",index,4,7.5,cluster_name,high,53.9191,9.363
SHN Cluster Handewitt T412 T413,handewitt,"111313,118369,130642,147499,147501,30036,57658,69875,73729,73730,73732,73733,73734,73746,84475,96289",index,16,87.7,cluster_name,high,54.748,9.3252
SHN Cluster Handewitt T414 T415,handewitt,"111313,118369,130642,147499,147501,30036,57658,69875,73729,73730,73732,73733,73734,73746,84475,96289",index,16,87.7,cluster_name,high,54.748,9.3252
SHN Cluster Schuby West,schuby,"127206,127208,161951,46232",index,4,16.9,cluster_name,high,54.5099,9.4379
AVA Cluster Sottrum T411 T413,sottrum,"121192,132868,4572",index,3,4.3,cluster_name,high,53.1102,9.2078
SHN Cluster Kiel Süd,kiel,"104899,130163,27012,28420,30125,31441,54280,57717,57719,66311,77534,80390,92342",index,13,3.2,cluster_name,high,54.3256,10.1437
SHN Cluster Audorf Süd,audorf,"141129,156492,31108,34489",index,4,2.3,cluster_name,high,52.709,11.1043
SHN Cluster Itzehoe West,itzehoe,"118741,118742,124482,128521,30104,57711,60301,68436,78433",index,9,2.4,cluster_name,high,53.9284,9.502
SHN Cluster Kummerfeld,kummerfeld,"112263,112264,82323",index,3,1.1,cluster_name,high,53.6973,9.7909
SHN Cluster Handewitt T411 T413,handewitt,"111313,118369,130642,147499,147501,30036,57658,69875,73729,73730,73732,73733,73734,73746,84475,96289",index,16,87.7,cluster_name,high,54.748,9.3252
SHN Cluster Jardelund,jardelund,"159438,78581",index,2,39.9,cluster_name,high,54.853,9.2121
SHN Cluster Handewitt T411,handewitt,"111313,118369,130642,147499,147501,30036,57658,69875,73729,73730,73732,73733,73734,73746,84475,96289",index,16,87.7,cluster_name,high,54.748,9.3252
AVA Cluster Dollern,dollern,58940,index,1,0.6,cluster_name,high,53.531,9.5484
AVA Cluster Elsen,elsen,136712,index,1,0.3,cluster_name,high,51.616,6.3772
SHN Cluster Hamburg Nord,hamburg,"104406,104803,106614,109044,110383,111300,111843,114069,115241,118353,118354,118355,118356,127726,131377,135017,137791,43713,43714,43718,43720,43727,43728,48546,48548,52252,55321,57645,57646,57647,57648,57649,57650,57651,57652,57653,60283,67335,68457,70246,72407,73655,73656,73657,73661,73662,73663,73664,73666,76902,80789,84742,88528,97276,98123",index,55,47.9,cluster_name,high,53.5234,10.0539
AVA Cluster Lehrte,lehrte,"112642,113837,127968,160093,30221,62917,63205,69325,69326,84158,84286,84293",index,12,32.6,cluster_name,high,52.3694,10.0044
AVA Cluster Sottrum T412,sottrum,"121192,132868,4572",index,3,4.3,cluster_name,high,53.1102,9.2078
AVA Cluster Helmstedt,helmstedt,"109238,118476,147792,75142,75149,75150",index,6,31.8,cluster_name,high,52.2266,10.9933
Wemag CAT Cluster Perleberg 003,wemag perleberg,"113861,120311,151229,2952,44503,45706,56814,56870,57847,65543,96062,96063",index,12,78.2,cluster_name,high,53.0704,11.8839
AVA Cluster Twistetal,twistetal,138045,index,1,9.2,cluster_name,high,51.3176,8.9887
AVA Cluster Algermissen T411,algermissen,"102441,130800",index,2,2.0,cluster_name,high,52.2427,9.9503
AVA Cluster Algermissen T412,algermissen,"102441,130800",index,2,2.0,cluster_name,high,52.2427,9.9503
AVA Cluster Hannover West,hannover,"104422,107426,107488,107869,108995,113249,113273,118373,118429,118624,129490,28662,31414,31889,33399,3523,50726,54893,57661,57662,65034,69105,70248,73769,73771,75224,82014,87163,93964,95810,97204",index,31,52.7,cluster_name,high,52.3826,9.7243
AVA Cluster Alfstedt,alfstedt,"102440,156245,159940,27710,67349",index,5,93.8,cluster_name,high,53.5923,8.8565
BAG NWAK-Cluster 15 Pleinting,pleinting,"113928,56018,97987",index,3,1.2,cluster_name,high,48.6685,13.1066
BAG NWAK-Cluster 16 Regensburg-Sittling,regensburg sittling,"102648,106562,114074,114152,120539,123233,123234,130281,139144,34087,52490,54833,75302,87880,98126",index,15,17.7,cluster_name,high,49.0024,12.1311
BAG NWAK-Cluster 03 Bergrheinfeld-Schweinfurt,bergrheinfeld schweinfurt,"102837,106879,108271,108647,108648,112281,112775,127569,127570,127571,128206,129281,3920,64276,67462,85409,92096,92328,97179,97425",index,20,13.1,cluster_name,high,50.0289,10.2157
BAG NWAK-Cluster 04 Aschaffenburg,aschaffenburg,"102567,107954,114648,116439,30923,30925,30926,47582,59182,60232,63933",index,11,3.9,cluster_name,high,49.9734,9.1277
BAG NWAK-Cluster 12 Pirach-Simbach,pirach simbach,"121113,3313,72797",index,3,104.5,cluster_name,high,48.2701,12.9924
BAG NWAK-Cluster 14 Schwandorf,schwandorf,"113771,127407,127408,132097,132104,136881,142451,48574,64275,77999,96903",index,11,5.0,cluster_name,high,49.3099,12.1118
BAG NWAK-Cluster 06 Raitersaich,raitersaich,143810,index,1,0.6,cluster_name,high,49.3686,10.8538
AVA Cluster Emden Borssum,emden borssum,"125938,126162,128131,139694,141200,145172,157837,3306,51187,52544,54823,57584,61133,61134,61135",index,15,56.4,cluster_name,high,53.3557,7.1588
BAG NWAK-Cluster 09 Marienberg,marienberg,"125976,132854,57772,86575,86577,86578,89353,89354",index,8,3.3,cluster_name,high,50.6527,13.1812
CROC Cluster Parchim Süd,parchim,"108182,116636,128766,138244,151155,151158,151160,151161,151162,151163,151164,151165,151166,151167,151168,34105,92665,95297,95298",index,19,91.2,cluster_name,high,53.4259,11.8765
AVA Cluster Landesbergen,landesbergen,"104505,83690,83694,83700,83703,84056",index,6,27.3,cluster_name,high,52.5633,9.1346
AVA Cluster Emden Ost,emden,"125938,126162,128131,139694,141200,157837,3306,51187,52544,54823,57584,61133,61134,61135",index,14,37.8,cluster_name,high,53.3559,7.152
CROC Cluster Perleberg,perleberg,"113861,120311,151229,2952,44503,45706,56814,56870,57847,65543,96062,96063",index,12,78.2,cluster_name,high,53.0704,11.8839
SHN Cluster Heide West T411 T412,heide,"100035,100062,100193,100387,104491,105868,106135,107289,110592,112141,112458,114848,115035,118438,123798,123819,126294,127103,130064,130463,130530,130776,131796,132301,132952,133962,135512,137411,138946,139555,140778,140782,140792,140809,140817,140820,140837,140854,140855,141033,141233,141298,141310,141324,141326,141327,141329,141356,141366,141372,141433,141449,141531,141635,141794,141871,143432,143510,143611,147807,148773,148872,150550,150719,150940,152332,152986,153600,153822,153824,153993,154012,154780,154878,155330,155395,155419,155856,155905,157294,158683,158859,159469,159644,159775,160035,160163,160883,161064,161538,162088,162819,163054,163104,163137,26545,27240,29452,29930,30071,30133,30442,3453,35052,35479,36876,36877,36878,39901,40844,40853,41064,42741,43147,43158,4431,45445,4563,4630,47000,47463,47487,48957,49402,50506,50507,51040,51589,53568,53658,54611,54627,54703,55018,57670,58583,59963,59998,61663,61938,63603,65447,67962,67981,68220,69177,70145,71623,71680,72415,73574,73596,73809,74183,74281,75201,75204,75206,76166,76403,78590,78857,80081,80440,82109,82219,83594,83644,86842,91267,91663,92490,92504,92505,92507,92509,93488,93644,94059,94062,94063,96019,96763,98424,98966,98973,98987,99992",index,188,788.9,cluster_geocode,medium,54.1873,9.0385
SHN Cluster Klixbüll,klixbüll,"100189,100288,101933,105634,107356,107475,110740,111222,111555,111709,112618,114048,115162,115809,115869,125539,125769,125778,126804,128150,128243,129545,130285,130431,130516,130517,130519,130682,131482,132184,132185,132438,133067,134035,134329,135363,135837,135839,135840,135892,135893,136619,136658,136662,136663,137725,138030,138031,138127,138129,138312,139266,140964,140975,140976,140987,140988,141031,141361,141442,141443,145201,145203,146293,149103,149474,152223,152841,159761,160888,164659,164667,27821,28111,2841,28944,29216,29634,2970,30303,3177,33896,34553,34554,3485,3542,36283,36412,36741,36742,36819,36820,37540,37556,37573,38224,38230,38435,38446,39684,39704,40585,40586,40587,40663,40664,41877,41921,41940,43660,43969,44791,44903,44928,44929,45332,45335,45336,45359,45533,46038,46056,46061,46065,46072,46084,46088,47054,47055,4909,4997,53216,53459,53471,53873,54477,54492,54499,56065,56461,57736,59246,59350,59621,65011,66889,67425,67491,68151,69366,69373,72574,73147,76177,77329,78758,78855,79673,79903,80316,81029,81032,81034,81035,81036,81045,81173,81264,84207,84208,86314,87254,88271,89119,89161,89439,89889,91290,91476,92137,92460,92502,94694,96015,96016,99266,99420,99546,99604,99832",index,190,611.3,cluster_geocode,medium,54.8164,8.9106
SHN Cluster Süderdonn T412 T413,süderdonn,"100089,100254,100316,101923,102292,102294,104282,104739,112323,112410,112637,112638,122947,123808,124105,125546,125547,125602,125786,125927,126600,126609,126938,127598,128575,128576,128910,134093,134910,134911,134923,135894,135982,136824,136831,138195,141000,141013,141051,141052,141081,141083,141108,143685,144576,148461,149762,151017,151021,151050,151521,151529,153923,154429,154449,155327,157922,161104,161389,162536,163061,26991,27007,33914,35494,35496,36047,36120,38196,38333,38457,38509,38512,38514,38518,38522,38525,38531,39093,40405,41778,43555,43891,44964,45122,45321,45390,45471,49020,53373,53663,53664,53668,53831,53925,54616,54727,54874,56117,57704,57705,59815,60295,61617,63219,65568,66343,67737,73516,74798,77395,77397,78049,83499,85657,87100,89757,92635,94266,95201,96096,98120,98963,98990,99275",index,125,326.3,cluster_geocode,medium,54.4325,9.0947
SHN Cluster Süderdonn T411,süderdonn,"100089,100254,100316,101923,102292,102294,104282,104739,112323,112410,112637,112638,122947,123808,124105,125546,125547,125602,125786,125927,126600,126609,126938,127598,128575,128576,128910,134093,134910,134911,134923,135894,135982,136824,136831,138195,141000,141013,141051,141052,141081,141083,141108,143685,144576,148461,149762,151017,151021,151050,151521,151529,153923,154429,154449,155327,157922,161104,161389,162536,163061,26991,27007,33914,35494,35496,36047,36120,38196,38333,38457,38509,38512,38514,38518,38522,38525,38531,39093,40405,41778,43555,43891,44964,45122,45321,45390,45471,49020,53373,53663,53664,53668,53831,53925,54616,54727,54874,56117,57704,57705,59815,60295,61617,63219,65568,66343,67737,73516,74798,77395,77397,78049,83499,85657,87100,89757,92635,94266,95201,96096,98120,98963,98990,99275",index,125,326.3,cluster_geocode,medium,54.4325,9.0947
SHN Cluster Krümmel,krümmel,"105427,106558,110506,110507,111180,112,112535,114145,116663,117191,118226,128416,129062,129991,132051,136976,137080,138758,138895,142918,143842,158767,160331,28742,32507,32508,32509,32510,32511,32512,32513,32514,32515,32517,32521,32525,38169,38208,39887,40739,42173,44683,46096,47928,52655,55238,57607,58123,62657,66003,70400,70401,72126,73087,73565,83142,84011,94622,98892,OPSD-BNA0328",index,60,222.4,cluster_geocode,medium,53.4178,10.4482
SHN Cluster Lübeck,lübeck,"102049,102090,102174,103611,104464,104920,105368,105756,105758,106688,108955,109259,109279,112743,112981,113791,114645,117138,118449,118707,119478,119480,119488,120131,121071,121291,121420,122547,125952,128024,132611,135118,143597,143652,147727,158916,159896,29213,31638,31656,38343,38344,45005,45125,47797,48852,54290,57684,57756,58205,60313,66147,70595,74397,75431,77403,77539,79358,80251,83306,84014,85584,85621,85640,85641,85642,85646,85656,94580,95211",index,70,49.1,cluster_geocode,medium,53.8643,10.6821
SHN Cluster Heide West T413,heide,"100035,100062,100193,100387,104491,105868,106135,107289,110592,112141,112458,114848,115035,118438,123798,123819,126294,127103,130064,130463,130530,130776,131796,132301,132952,133962,135512,137411,138946,139555,140778,140782,140792,140809,140817,140820,140837,140854,140855,141033,141233,141298,141310,141324,141326,141327,141329,141356,141366,141372,141433,141449,141531,141635,141794,141871,143432,143510,143611,147807,148773,148872,150550,150719,150940,152332,152986,153600,153822,153824,153993,154012,154780,154878,155330,155395,155419,155856,155905,157294,158683,158859,159469,159644,159775,160035,160163,160883,161064,161538,162088,162819,163054,163104,163137,26545,27240,29452,29930,30071,30133,30442,3453,35052,35479,36876,36877,36878,39901,40844,40853,41064,42741,43147,43158,4431,45445,4563,4630,47000,47463,47487,48957,49402,50506,50507,51040,51589,53568,53658,54611,54627,54703,55018,57670,58583,59963,59998,61663,61938,63603,65447,67962,67981,68220,69177,70145,71623,71680,72415,73574,73596,73809,74183,74281,75201,75204,75206,76166,76403,78590,78857,80081,80440,82109,82219,83594,83644,86842,91267,91663,92490,92504,92505,92507,92509,93488,93644,94059,94062,94063,96019,96763,98424,98966,98973,98987,99992",index,188,788.9,cluster_geocode,medium,54.1873,9.0385
SHN Cluster Brunsbüttel,brunsbüttel,"100247,101131,102053,103016,104663,111049,111155,115927,123557,124794,125806,126300,126316,129442,129595,130553,130559,134258,139025,139492,140891,140985,140986,140993,141001,141028,141165,143566,145385,145545,145801,150001,153731,153743,157231,157279,157289,157521,159577,160989,162952,27571,2796,28549,28551,28552,28554,28555,28556,28583,29044,32040,32041,34556,35302,36258,37226,3817,39510,41782,45492,47214,47506,4881,49440,51955,52638,52766,52767,52768,52769,53485,54191,54500,54920,58783,60612,60941,62250,62257,62259,62260,62262,62269,62274,62281,62282,62283,65384,68435,71393,71777,71778,72631,72833,73966,74261,74936,78196,78198,79917,79921,79922,79928,81629,85547,86734,86739,94146,98558,98948,98954,98959,98975,99461,99725",index,116,528.6,cluster_geocode,medium,53.9044,9.1126
AVA Cluster Ohlensehlen,ohlensehlen,"101865,105250,107973,109611,111323,114211,122503,123621,125411,125713,126299,126862,126864,127439,128143,128148,129255,130438,135028,135276,135858,136625,136626,139643,140149,140789,140790,140805,140818,140819,140821,140942,140956,140960,140965,141039,141063,141064,141065,141072,141074,141082,141094,141101,141196,141264,141422,141908,143802,144089,146454,146988,149342,150671,151015,154074,157631,160017,160351,162343,162863,163686,26453,26908,27379,29684,34049,36052,36057,36346,36350,36351,41772,41939,41960,42073,43150,45887,46026,46100,46925,47816,47850,47868,50957,53060,57815,64636,65952,69455,70114,78783,79792,80381,83278,85794,86354,91987,92199,92543,96783,98992",index,102,228.8,cluster_geocode,medium,52.6339,9.495
AVA Cluster Wechold,wechold,"100619,102031,108537,109006,109324,110686,112039,112550,114764,114765,114768,115365,115635,118416,120321,120449,121589,125587,126275,126853,126854,127462,131552,134112,134221,138135,138136,140970,140977,141012,141210,141243,142650,143171,147522,149649,150028,155211,157210,160501,161875,164300,30964,31144,31147,35005,35006,35664,37649,37980,38011,38012,38133,38797,41854,42305,44102,48940,50509,52103,57241,57403,64851,64852,66033,66279,72039,73654,76246,76252,77090,77726,77873,78731,80411,84057,85256,85375,89286,89956,95351,96111,98985,99634",index,84,185.3,cluster_geocode,medium,52.4541,8.95
AVA Cluster Lüneburg T412,lüneburg,"102877,105174,108162,108295,108358,109503,109581,114056,116575,119513,124936,124937,128346,134397,136933,142695,144548,146330,149763,153341,156071,164280,26504,28803,30234,32384,32385,32387,32394,35905,36922,36944,38480,39269,42375,42377,42379,44934,44936,45057,45311,45379,45392,47709,49786,50720,53393,54483,54552,56438,57481,59467,60077,60315,62112,62174,64536,64923,65364,65591,68163,71692,73276,73567,73571,75747,75748,79488,80490,81825,82581,82583,82605,85115,85726,85727,85728,87587,87591,94759,98140",index,81,124.8,cluster_geocode,medium,53.2603,10.4035
AVA Cluster Lüneburg T413,lüneburg,"102877,105174,108162,108295,108358,109503,109581,114056,116575,119513,124936,124937,128346,134397,136933,142695,144548,146330,149763,153341,156071,164280,26504,28803,30234,32384,32385,32387,32394,35905,36922,36944,38480,39269,42375,42377,42379,44934,44936,45057,45311,45379,45392,47709,49786,50720,53393,54483,54552,56438,57481,59467,60077,60315,62112,62174,64536,64923,65364,65591,68163,71692,73276,73567,73571,75747,75748,79488,80490,81825,82581,82583,82605,85115,85726,85727,85728,87587,87591,94759,98140",index,81,124.8,cluster_geocode,medium,53.2603,10.4035
AVA Cluster Stadorf,stadorf,"102530,106863,108284,113457,115454,115562,115838,116123,116568,117034,118955,119238,122189,122190,122191,124799,129584,130317,132276,139820,142342,143603,143607,143613,147998,151980,153073,153383,154366,155911,157317,159497,159549,161665,164352,164353,27273,33413,33650,33657,34530,35279,3713,3972,41678,41681,43952,43955,43996,4515,48978,49722,54220,65923,68942,69365,76209,76355,76370,76371,76999,77027,79509,79517,79888,80010,81046,94064,98068",index,69,303.5,cluster_geocode,medium,53.9355,12.0202
AVA Cluster Vörden,vörden,"100225,100689,100695,100745,100973,101094,101183,101322,101439,101504,101578,101607,101612,101633,101670,101758,101774,101863,102178,102197,102212,102245,102282,102305,102603,103084,104579,106317,106466,106991,107561,107872,108472,108651,108654,111166,111463,112606,113774,114091,114092,115091,115669,122815,123329,125463,125579,125694,125704,125794,130434,132168,133931,133936,135147,138026,138769,141376,143496,143599,153398,156155,156156,158190,162247,163486,164580,26121,28422,29770,29876,31658,34349,34359,34369,34370,35072,35195,36744,36952,36953,37394,37401,37442,37639,37651,37669,40410,42276,42285,43922,44817,45821,45822,46954,46955,46963,48561,48585,48975,48977,51944,54076,55935,58660,59706,59738,59742,59753,59770,61333,62508,63178,64812,65412,66259,71774,72342,74910,74911,78061,80740,82159,82230,82269,85357,85358,86322,92516,94111,97788,99404,99583",index,133,84.2,cluster_geocode,medium,52.4314,8.6321
BAG NWAK-Cluster 05 Kriegenbrunn-Ludersheim,kriegenbrunn ludersheim,"100356,100882,100896,100987,101119,101343,103405,105068,105908,105924,106045,106512,106977,107832,109417,110269,110606,110609,110865,110914,112278,112757,113061,113299,113374,113406,114033,114780,114841,115339,115756,117703,117835,117836,119186,122346,122469,122474,123179,124356,125584,125629,126059,128374,128801,129430,129855,129971,131119,131246,131247,131262,132007,132112,132497,132953,133701,134576,135566,135608,136965,138977,142138,142370,142371,162191,26575,26833,2836,29382,31402,32045,32910,33895,33925,34915,35605,35624,35732,35751,36366,36367,36561,37235,37280,37282,37861,37870,38096,38102,39033,41070,41073,44252,46939,48301,48308,48343,48714,50855,51461,56467,56588,56674,58200,58744,61729,61975,63643,64396,64464,65789,65790,65920,66553,71722,72175,73562,74345,77151,79089,80057,80445,82354,82977,84725,86708,87065,88338,88521,96478,96921",index,132,90.8,cluster_geocode,medium,50.2276,11.1488
BAG NWAK-Cluster 02 Oberhaid-Redwitz,oberhaid redwitz,"100380,100382,101519,104506,104508,104509,104510,106470,106471,106472,107125,107126,107999,117702,118731,134011,134817,136851,162239,3790,4088,4093,49369,49890,56101,64287,64832,64998,96388,98239,99206",index,31,50.3,cluster_geocode,medium,50.3668,11.3228
BAG NWAK-Cluster 01 Mechlenreuth,mechlenreuth,"102571,103438,106835,110270,114644,121064,127066,127998,128003,139161,142135,153292,28879,29115,29116,2927,31750,40212,40225,40763,74229,75852,78496,84503,91813",index,25,25.0,cluster_geocode,medium,50.1719,12.1389
TTG Cluster EE Bechterdissen T411,bechterdissen,"101098,102410,102769,103410,103621,103913,104083,104398,105439,105656,105727,105973,107034,107479,107774,108123,108867,109421,109428,111316,112273,112654,113285,113312,117266,119531,120339,123691,124316,124883,125381,125509,127131,127325,127666,129044,129872,130118,131337,134712,135135,137662,138998,139247,141320,141904,142909,145772,147163,149344,149502,150697,151277,151278,155845,155930,156131,156145,163400,26185,26669,29396,29411,30582,30622,31035,34601,35561,35832,35869,35870,35871,35995,36132,36724,40602,43134,43418,43941,43942,44892,45387,45619,46445,46472,47031,48807,51371,52082,55508,56450,56810,57416,57729,57739,58423,59218,59597,59910,62132,62151,62161,62162,62164,62165,62176,62624,65354,67726,68092,69887,70116,72463,73756,74645,74768,76035,77915,78158,81354,82113,82919,83019,83068,83159,84181,84375,84376,84425,85889,87834,88939,89083,89148,89156,94695,94718,95210,96793,96899,96900,97101,97413,97819,97821,97838,98078,98500,98890,98899",index,150,108.9,cluster_geocode,medium,52.0081,8.8384
