BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
06.01.2022;00:00;CET;06.01.2022;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;305,71;370;2140;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
06.01.2022;00:00;CET;06.01.2022;11:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;394;650;4535;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Bexbach/A;Konventionell
06.01.2022;00:00;CET;07.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;251,06;340;3263,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
06.01.2022;02:45;CET;06.01.2022;05:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;23;30;52;50Hertz;50Hertz;50H OWP MIO Baltic 1+2;Erneuerbar
06.01.2022;03:00;CET;06.01.2022;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;108;175;975;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NEURATH_D;Konventionell
06.01.2022;04:00;CET;06.01.2022;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;500;TenneT DE;TenneT DE;Isar 2 (Uniper);Konventionell
06.01.2022;04:00;CET;06.01.2022;14:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;70,24;90;720;TenneT DE;TenneT DE;Isar 2 (SWM);Konventionell
06.01.2022;05:00;CET;06.01.2022;13:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;71,16;200;569,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
06.01.2022;08:30;CET;06.01.2022;11:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;181;200;588;50Hertz;50Hertz & TenneT DE;50H OWP MIO Baltic 1+2;Erneuerbar
07.01.2022;00:00;CET;07.01.2022;08:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;243,97;500;2073,75;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
07.01.2022;00:00;CET;07.01.2022;21:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;294,95;340;6194;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
07.01.2022;00:45;CET;07.01.2022;05:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;96,06;117;408,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Staudinger 5;Konventionell
07.01.2022;10:45;CET;07.01.2022;23:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;186,35;260;1723,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Staudinger 5;Konventionell
07.01.2022;16:45;CET;07.01.2022;21:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;94,44;100;425;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (Uniper);Konventionell
07.01.2022;17:00;CET;07.01.2022;21:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;43,44;50;173,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (SWM);Konventionell
07.01.2022;20:00;CET;08.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;297,5;340;1190;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
08.01.2022;00:00;CET;08.01.2022;20:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;263,46;340;2437;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
08.01.2022;00:15;CET;08.01.2022;04:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;134,29;153;570,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (Uniper);Konventionell
08.01.2022;02:45;CET;08.01.2022;13:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;204,77;220;2201,25;TenneT DE;TenneT DE;Farge;Konventionell
08.01.2022;16:45;CET;09.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;266;300;1925;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NEURATH_D;Konventionell
08.01.2022;17:30;CET;09.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;288;300;1875;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NEURATH_E;Konventionell
11.01.2022;20:45;CET;12.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;242,31;300;787,5;TenneT DE;TenneT DE;Isar 2 (Uniper);Konventionell
11.01.2022;23:45;CET;12.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;30;30;7,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (SWM);Konventionell
11.01.2022;23:45;CET;12.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;30;30;8;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;VIANDEN_4;Sonstiges
12.01.2022;00:00;CET;12.01.2022;08:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;59,06;60;472,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (SWM);Konventionell
12.01.2022;00:00;CET;12.01.2022;09:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;279,73;300;2587,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (Uniper);Konventionell
12.01.2022;16:45;CET;13.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;98,28;100;712,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Staudinger 5;Konventionell
12.01.2022;17:15;CET;13.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;280;340;1890;TenneT DE;TenneT DE & Amprion;Farge;Konventionell
12.01.2022;22:15;CET;13.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;37,14;45;65;TransnetBW;TenneT DE & Amprion;Reservekraftwerk Walheim Block 1;Konventionell
12.01.2022;23:15;CET;13.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;213;250;160;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;KNAPSACK_DT10;Konventionell
13.01.2022;00:00;CET;13.01.2022;08:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;71,25;80;570;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Reservekraftwerk Walheim Block 1;Konventionell
13.01.2022;00:00;CET;14.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;340;340;8160;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
13.01.2022;00:00;CET;14.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;250;250;6000;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;KNAPSACK_DT10;Konventionell
13.01.2022;00:00;CET;14.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;159,38;160;3825;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Staudinger 5;Konventionell
13.01.2022;07:00;CET;13.01.2022;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;71,11;80;640;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Reservekraftwerk Walheim Block 1;Konventionell
13.01.2022;13:00;CET;14.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;158,18;160;1740;TenneT DE;TenneT DE;Staudinger 5;Konventionell
14.01.2022;00:00;CET;14.01.2022;00:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;83;145;62;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;KNAPSACK_DT10;Konventionell
14.01.2022;00:00;CET;14.01.2022;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;238;250;3812;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Bexbach/A;Konventionell
14.01.2022;00:00;CET;14.01.2022;17:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;324,55;340;5760,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
14.01.2022;01:00;CET;14.01.2022;05:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;160,59;210;682,5;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;Konventionell
14.01.2022;03:00;CET;14.01.2022;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;78,61;90;1100,5;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Reservekraftwerk Walheim Block 1;Konventionell
14.01.2022;13:00;CET;14.01.2022;15:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;101,11;136;227,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
14.01.2022;17:00;CET;14.01.2022;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;34,75;61;34,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
14.01.2022;19:30;CET;15.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;97,22;100;437,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (Uniper);Konventionell
14.01.2022;20:00;CET;15.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;84,38;90;337,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (SWM);Konventionell
14.01.2022;20:30;CET;15.01.2022;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;255,36;370;893,75;TenneT DE;TenneT DE;ReserveKW Heyden;Konventionell
14.01.2022;21:00;CET;15.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;155;230;465;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;EMSLAND_GTC1;Konventionell
14.01.2022;21:00;CET;15.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;166,25;210;498,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
14.01.2022;22:45;CET;15.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;225;250;281;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Bexbach/A;Konventionell
14.01.2022;23:30;CET;15.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;120;160;60;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Bexbach/A;Konventionell
15.01.2022;00:00;CET;15.01.2022;01:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;44;104;55;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;EMSLAND_GTC1;Konventionell
15.01.2022;00:00;CET;15.01.2022;02:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;64;108;128;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
15.01.2022;00:00;CET;15.01.2022;03:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;173;240;520;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Bexbach/A;Konventionell
15.01.2022;00:00;CET;15.01.2022;04:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;223;230;948;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;EMSLAND_GTC1;Konventionell
15.01.2022;00:00;CET;15.01.2022;05:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;250;250;1250;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Bexbach/A;Konventionell
15.01.2022;00:00;CET;15.01.2022;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;271;350;1355;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;ReserveKW Heyden;Konventionell
15.01.2022;00:00;CET;15.01.2022;08:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;87,19;90;697,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (SWM);Konventionell
15.01.2022;00:00;CET;15.01.2022;08:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;125,13;258;1001;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
15.01.2022;00:00;CET;16.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;100;100;2400;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (Uniper);Konventionell
15.01.2022;00:00;CET;16.01.2022;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;160,59;350;2047,5;TenneT DE;TenneT DE;ReserveKW Heyden;Konventionell
15.01.2022;00:30;CET;15.01.2022;04:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;102;110;358;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;KNAPSACK_DT10;Konventionell
15.01.2022;00:45;CET;15.01.2022;04:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;260;280;910;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;KNAPSACK_GT11;Konventionell
15.01.2022;07:00;CET;15.01.2022;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;463,13;570;7410;TenneT DE;TenneT NL;ReserveKW Heyden;Konventionell
16.01.2022;00:00;CET;16.01.2022;01:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;87,5;100;87,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Isar 2 (Uniper);Konventionell
16.01.2022;00:00;CET;16.01.2022;09:45;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;340,26;350;3317,5;TenneT DE;TenneT DE;ReserveKW Heyden;Konventionell
16.01.2022;00:00;CET;16.01.2022;13:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;224,23;340;2915;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Farge;Konventionell
16.01.2022;00:00;CET;16.01.2022;20:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;151,76;160;2580;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Staudinger 5;Konventionell
16.01.2022;00:45;CET;17.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;249;250;5782;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk Bexbach/A;Konventionell
16.01.2022;01:00;CET;16.01.2022;10:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;73,38;90;678,75;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Reservekraftwerk Walheim Block 1;Konventionell
16.01.2022;01:00;CET;17.01.2022;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;139;170;3198;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;VOELKLINGEN_MKV;Konventionell
