mastr_id,Anzeigename,norm_name,Energietraeger,Nettonennleistung_MW,Postleitzahl,Ort
SEE905716958785,trlyr 2,trlyr 2,Batteriespeicher,10.0,94104,Tittling
SEE911836897996,Batteriespeicher Herdecke,batteriespeicher herdecke,Batteriespeicher,6.25,58313,Herdecke
SEE912912423627,Expander,expander,Mineraloelprodukte,18.9,76187,Karlsruhe
SEE913516809497,Datteln 4,datteln 4,Steinkohle,1052.0,45711,Datteln
SEE917689107459,BESS Merseburg,bess merseburg,Batteriespeicher,6.67,06217,Merseburg
SEE918583974024,Küstenkraftwerk K.I.E.L Motor 2,küstenkraftwerk k i e l motor 2,Erdgas,9.456,24149,Kiel
SEE901523079712,SMAREG8 Calbe,smareg8 calbe,Batteriespeicher,20.5,39240,Calbe
SEE904455926604,Turbine 4,turbine 4,Waerme,19.0,76187,Karlsruhe
SEE906382407782,Pfrombach D F7,pfrombach d f7,Wasser,4.38,85368,Moosburg
SEE908927793930,Regensburg KWK 2,regensburg kwk 2,Erdgas,2.624,93055,Regensburg
SEE911476679648,Serrig Maschine 1,serrig maschine 1,Wasser,6.05,54441,Taben-Rodt
SEE911613995433,Kraftwerk Walheim GTD,kraftwerk walheim gtd,Mineraloelprodukte,136.0,74399,Walheim
SEE912494745674,Pfrombach E F8,pfrombach e f8,Wasser,14.0,85368,Moosburg
SEE905804223849,KW Laufenburg Maschine 1,kw laufenburg maschine 1,Wasser,10.442,5080,Laufenburg
SEE906074606738,Eitting D F1,eitting d f1,Wasser,9.0,85462,Eitting
SEE909400536488,WKW Rudolf-Fettweis-Werk NDW M1,wkw rudolf-fettweis-werk ndw m1,Wasser,1.27,76596,Forbach
SEE905937514456,GT 4,gt 4,Mineraloelprodukte,23.2,83734,Hausham
SEE914878135613,HKW Potsdam-Süd Block2,hkw potsdam-süd block2,Erdgas,40.9,14478,Potsdam
SEE916435406600,Küstenkraftwerk K.I.E.L Motor 9,küstenkraftwerk k i e l motor 9,Erdgas,9.456,24149,Kiel
SEE900123363948,Kraftwerk Teufelsbruck MS4,kraftwerk teufelsbruck ms4,Wasser,5.0,83564,Soyen
SEE901884895389,Dampfturbine 1,dampfturbine 1,Erdgas,12.8,79106,Freiburg
SEE904364883227,KonTu,kontu,Erdgas,6.9,67547,Worms
SEE905229048430,GT8,gt8,Erdgas,5.0,59929,Brilon
SEE907828499484,F13G6,f13g6,Erdgas,18.0,40589,Düsseldorf
SEE910471578864,Heizkraftwerk an der Friedensbrücke DampfturbineII,heizkraftwerk an der friedensbrücke dampfturbineii,Erdgas,25.0,97080,Würzburg
SEE901604837408,Saalachkraftwerk E2,saalachkraftwerk e2,Wasser,1.28,83435,Bad Reichenhall
SEE905257392765,Kesselhaus,kesselhaus,Erdgas,15.0,17389,Anklam
SEE907731725434,BHKW Jungfernwiese - modernisiert,bhkw jungfernwiese - modernisiert,Erdgas,4.45,17489,Greifswald
SEE910013400721,KW Laufenburg Maschine 2,kw laufenburg maschine 2,Wasser,10.442,5080,Laufenburg
SEE912975333499,UPM Schongau HKW 3 GT,upm schongau hkw 3 gt,Erdgas,44.328,86956,Schongau
SEE901602471161,Alzwerk Maschine 1,alzwerk maschine 1,Wasser,10.08,84489,Burghausen
SEE903050601572,Turbine/Generator 9,turbine generator 9,Erdgas,13.5,84489,Burghausen
SEE910475623805,Ofenlinie K3,ofenlinie k3,Abfall,2.2,87437,Kempten
SEE905714722562,Heizkraftwerk Stuttgart-Münster DT 15,heizkraftwerk stuttgart-münster dt 15,Erdgas,45.0,70376,Stuttgart
SEE906215229154,MVA EEW Helmstedt,mva eew helmstedt,Abfall,37.5,38372,Büddenstedt
SEE906312850534,Detzem Maschine 4,detzem maschine 4,Wasser,6.0,54340,Detzem
SEE907030791383,BMHKW der ESWE BioEnergie,bmhkw der eswe bioenergie,Biomasse,10.5,65205,Wiesbaden
SEE910161577337,UER L57 M1,uer l57 m1,Steinkohle,17.097,47829,Krefeld
SEE916532936024,Batteriespeicher Westfalen 1,batteriespeicher westfalen 1,Batteriespeicher,140.0,59071,Hamm
SEE902796244388,Turbine 4,turbine 4,Erdgas,11.0,31061,Alfeld
SEE906889375157,Bittenbrunn E K2,bittenbrunn e k2,Wasser,6.73,86633,Neuburg
SEE908089235248,Dormagen GT2,dormagen gt2,Erdgas,184.0,41540,Dormagen
SEE911257641864,W065-Gebäude 120 / BHKW Modul 02,w065-gebäude 120 bhkw modul 02,Erdgas,4.2,40476,Düsseldorf
SEE913911815888,Alzwerk Maschine 2,alzwerk maschine 2,Wasser,10.08,84489,Burghausen
SEE914989602134,IPH Strom GTX2,iph strom gtx2,Erdgas,49.8,65929,Frankfurt
SEE916030519361,TG-1902,tg-1902,Mineraloelprodukte,7.3,76187,Karlsruhe
SEE918037222657,PSW Hohenwarte 2 PSS C,psw hohenwarte 2 pss c,Pumpspeicher,39.7,07338,Hohenwarte
SEE900963630248,Aufkirchen D F1,aufkirchen d f1,Wasser,9.0,85445,Oberding
SEE905751443291,BHKW Hastedt Motor 06,bhkw hastedt motor 06,Erdgas,11.6794,28207,Bremen
SEE906681939748,BHKW Hafen - Modul 1,bhkw hafen - modul 1,Erdgas,2.173,59067,Hamm
SEE916041421592,NUKAspeicher,nukaspeicher,Batteriespeicher,1.718,87448,Waltenhofen
SEE921222366043,Batteriepark Metelen,batteriepark metelen,Batteriespeicher,92.5,48629,Metelen
SEE916697461249,Dingolfing K3,dingolfing k3,Wasser,5.0,84130,Dingolfing
SEE902745894848,Aufkirchen E F1,aufkirchen e f1,Wasser,9.0,85445,Oberding
SEE906061539261,"HKW Pfaffenwald, Generator 42",hkw pfaffenwald generator 42,Erdgas,4.9,70569,Stuttgart
SEE906691973961,medl BHKW Broich Modul 4,medl bhkw broich modul 4,Biomasse,1.999,45479,Mülheim
SEE908227299279,Vianden M4,vianden m4,Pumpspeicher,100.0,9463,Stolzembourg
SEE916733797554,Turbine 1,turbine 1,Erdgas,4.15,67468,Neidenfels
SEE917250397289,RKI Iffezheim M2,rki iffezheim m2,Wasser,27.0,76473,Iffezheim
SEE905108374407,BHKW Si Si307,bhkw si si307,Erdgas,1.472,71701,Schwieberdingen
SEE907837230047,Prem K(Ro)1,prem k 1,Wasser,6.4,86983,Lechbruck
SEE908836263777,IN_N19_KWKK_GT2,in_n19_kwkk_gt2,Erdgas,4.985,85057,Ingolstadt
SEE914128531905,Euskirchen Generator 2,euskirchen generator 2,Erdgas,6.232,53879,Euskirchen
SEE912008346410,Dampfturbine,dampfturbine,Waerme,10.8,76593,Gernsbach
SEE912020488365,Ruhrort 2,ruhrort 2,Sonstige Energietraeger (nicht erneuerbar),59.6,47166,Duisburg
SEE900559860912,WUN Pellets - BHKW - Modul II,wun pellets - bhkw - modul ii,Erdgas,4.41,95632,Wunsiedel
SEE902009757629,Notstromdiesel,notstromdiesel,Mineraloelprodukte,1.395,51373,Leverkusen
SEE906899424722,S300 NT7,s300 nt7,Waerme,24.0,67063,Ludwigshafen
SEE908293161302,Dampfturbine 7,dampfturbine 7,Erdgas,10.8,76855,Annweiler
SEE908964165929,T-DT,t-dt,Erdgas,10.5,99087,Erfurt
SEE911179819280,Gottfrieding K2,gottfrieding k2,Wasser,3.0,84177,Gottfrieding
SEE910623192382,Dampfturbine II Südzucker Offstein,dampfturbine ii südzucker offstein,Waerme,7.4891,67283,Obrigheim
SEE918111432224,Turbinengenerator3-SiemensT1915,turbinengenerator3-siemenst1915,Erdgas,5.17,89584,Ehingen
SEE900610669775,PSW Hohenwarte 2 PSS H,psw hohenwarte 2 pss h,Pumpspeicher,39.7,07338,Hohenwarte
SEE907282834715,"Kraftwerk VI, Block 61, GT611",kraftwerk vi block 61 gt611,Erdgas,55.3,45772,Marl
SEE911129038174,BHKW-Anlage,bhkw-anlage,Erdgas,53.481,03052,Cottbus
SEE902378631681,Kraftwerk Jochenstein MS1,kraftwerk jochenstein ms1,Wasser,26.4,94107,Untergriesbach
SEE905270326723,Großkayna GT3,großkayna gt3,Mineraloelprodukte,45.625,06242,Großkayna
SEE909400381729,Hemfurth F2,hemfurth f2,Wasser,10.0,34549,Edertal
SEE912583238223,Gasmotor 3 Jena,gasmotor 3 jena,Erdgas,12.175,07745,Jena
SEE912827261192,Oberpeiching M2,oberpeiching m2,Wasser,6.145,86698,Oberndorf
SEE914688001801,DT 2 (KKK),dt 2,Erdgas,4.339,27318,Hoya
SEE914857304191,Dormagen GT1,dormagen gt1,Erdgas,184.0,41540,Dormagen
SEE901410470721,GT3,gt3,Erdgas,62.0,01159,Dresden
SEE906636749798,KW Säckingen A7,kw säckingen a7,Pumpspeicher,90.0,79713,Bad Säckingen
SEE908119179962,HDH_004_Industrieheizkraftwerk-Heidenheim_GM4,hdh_004_industrieheizkraftwerk-heidenheim_gm4,Erdgas,3.725,89522,Heidenheim
SEE909212211870,SMAREG6 Gunzenhausen,smareg6 gunzenhausen,Batteriespeicher,32.04,91710,Gunzenhausen
SEE911454349471,Batteriespeicher Garzweiler,batteriespeicher garzweiler,Batteriespeicher,6.5,50181,Bedburg
SEE913282681389,Dampfturbine I Südzucker Plattling,dampfturbine i südzucker plattling,Waerme,6.7895,94447,Plattling
SEE925192446583,Emsland C GT2,emsland c gt2,Erdgas,58.0,49808,Lingen
SEE925683830624,Dampfturbine II Südzucker Offenau,dampfturbine ii südzucker offenau,Waerme,7.344,74254,Offenau
SEE927234931354,Kraftwerk Teufelsbruck MS3,kraftwerk teufelsbruck ms3,Wasser,5.0,83564,Soyen
SEE903171052819,Biomasseheizkraftwerk,biomasseheizkraftwerk,Biomasse,12.89,07929,Saalburg-Ebersdorf
SEE909002940690,GKM Block 6,gkm block 6,Steinkohle,255.0,68199,Mannheim
SEE909599581535,Pfreimd T1,pfreimd t1,Pumpspeicher,29.0,92723,Tännesberg
SEE914474474840,Ekol,ekol,Biomasse,7.72,46325,Borken
SEE930322571356,KWK006-2,kwk006-2,Erdgas,4.241,47804,Krefeld
