mastr_id,Anzeigename,norm_name,Energietraeger,Nettonennleistung_MW,Postleitzahl,Ort
SEE927287469774,KW Wyhlen Straflo 03,kw wyhlen straflo 03,Wasser,4.5,79639,Grenzach-Wyhlen
SEE927932653541,illwerke vkw Kopswerk I M2,illwerke vkw kopswerk i m2,Wasser,96.0,A-6793,Gaschurn
SEE930752846949,Grohnde,grohnde,Kernenergie,1360.0,31860,Emmerthal
SEE930847992643,PES Ohrdruf,pes ohrdruf,Batteriespeicher,10.35,99885,Ohrdruf
SEE931197865137,GT2,gt2,Erdgas,5.163,25541,Brunsbüttel
SEE907294548426,Scheuring K(Ro)2,scheuring k 2,Wasser,4.067,86937,Scheuring
SEE914861690945,Kraftwerk Egglfing-Obernberg MS3,kraftwerk egglfing-obernberg ms3,Wasser,13.45,94072,Bad Füssing
SEE917925869486,Nordland GuD-Anlage HD-DTS,nordland gud-anlage hd-dts,Erdgas,22.61,26892,Dörpen
SEE926120377375,Cogenerationanlage,cogenerationanlage,Erdgas,25.4,93333,Neustadt
SEE934242259776,Küstenkraftwerk K.I.E.L Motor 8,küstenkraftwerk k i e l motor 8,Erdgas,9.456,24149,Kiel
SEE934654061066,Wintrich Maschine 4,wintrich maschine 4,Wasser,5.0,54487,Wintrich
SEE937857006797,WBS-Tarzow,wbs-tarzow,Batteriespeicher,10.0,23972,Lübow
SEE944122961347,GuD Süd GT1,gud süd gt1,Erdgas,173.0,67063,Ludwigshafen
SEE945093211103,Erzeugungsanlage FHW Ratingen West Modul 2,erzeugungsanlage fhw ratingen west modul 2,Erdgas,2.0,40878,Ratingen
SEE931012437020,Kraftwerk Gars MS2,kraftwerk gars ms2,Wasser,5.0,83536,Gars
SEE932787342328,Gersteinwerk G GT (G1),gersteinwerk g gt,Erdgas,55.0,59368,Werne
SEE933078887559,Ingolstadt E K1,ingolstadt e k1,Wasser,6.6,85049,Ingolstadt
SEE943766131437,Turbine 1,turbine 1,Steinkohle,14.2,97424,Schweinfurt
SEE944148486770,Generator 4,generator 4,Sonstige Energietraeger (nicht erneuerbar),22.0,50997,Köln
SEE949133098242,Turbine 7,turbine 7,Waerme,18.0,76187,Karlsruhe
SEE949722134498,F03G2,f03g2,Erdgas,11.88,40589,Düsseldorf
SEE950641511031,Rain M1,rain m1,Wasser,5.595,86641,Rain
SEE952352206145,Scholven B,scholven b,Steinkohle,345.0,45896,Gelsenkirchen
SEE939692270074,Scholven 1 GT1,scholven 1 gt1,Erdgas,54.0,45896,Gelsenkirchen
SEE942234222677,BHKW Hafen - Modul 5,bhkw hafen - modul 5,Erdgas,2.173,59067,Hamm
SEE942432515786,Dampfturbine AEG,dampfturbine aeg,Waerme,2.454,73312,Geislingen
SEE943208281096,Rain BS1,rain bs1,Batteriespeicher,1.5,86641,Rain
SEE943548208159,AHKW ND Turbine,ahkw nd turbine,Abfall,6.72,86167,Augsburg
SEE949895584069,HKW Sandreuth (DT3),hkw sandreuth,Erdgas,38.774,90441,Nürnberg
SEE952807166543,F03G3,f03g3,Erdgas,11.88,40589,Düsseldorf
SEE955111508221,Dampfturbine DT5,dampfturbine dt5,Erdgas,8.426,79639,Grenzach-Wyhlen
SEE964903137297,Dampfturbine II Südzucker AG Ochsenfurt,dampfturbine ii südzucker ag ochsenfurt,Waerme,4.983,97199,Ochsenfurt
SEE968309350465,BHKW 1 + 2,bhkw 1 2,Biomasse,1.998,07407,Rudolstadt
SEE969267129582,Kraftwerk Gars MS3,kraftwerk gars ms3,Wasser,5.0,83536,Gars
SEE925326526723,KW Wyhlen Straflo 06,kw wyhlen straflo 06,Wasser,4.5,79639,Grenzach-Wyhlen
SEE926245506438,SEE_2025_4642_Föhren_BESS,see_2025_4642_föhren_bess,Batteriespeicher,20.0,54343,Föhren
SEE927968132478,ET HO 9,et ho 9,Sonstige Energietraeger (nicht erneuerbar),7.0,47166,Duisburg
SEE928246905913,Kraftwerk Stammham,kraftwerk stammham,Wasser,7.733,84533,Stammham
SEE930197122479,Energieanlage 3,energieanlage 3,Biomasse,19.7,16909,Heiligengrabe
SEE931986160672,UPM Schongau DKW T5,upm schongau dkw t5,Erdgas,32.0,86956,Schongau
SEE937997291855,HKW FFO GM3,hkw ffo gm3,Erdgas,10.3584,15236,Frankfurt
SEE941568392261,RZR I Turbine2,rzr i turbine2,Abfall,14.88,45699,Herten
SEE948455839281,Kraftwerk Egglfing-Obernberg MS1,kraftwerk egglfing-obernberg ms1,Wasser,13.45,94072,Bad Füssing
SEE951684578067,Gasturbine 2 - GuD MPE,gasturbine 2 - gud mpe,Erdgas,15.25,33699,Bielefeld
SEE952794027650,BMHKW Piesteritz,bmhkw piesteritz,Biomasse,20.0,06886,Lutherstadt Wittenberg
SEE954780579013,IN_WERK_PST_Gesamt,in_werk_pst_gesamt,Mineraloelprodukte,45.178,85057,Ingolstadt
SEE958518628752,HKW Schildescher Straße DT 3,hkw schildescher straße dt 3,Erdgas,20.0,33611,Bielefeld
SEE958827094903,Gasturbine 1,gasturbine 1,Erdgas,3.0,56727,Mayen
SEE935952275827,Dampfturbine,dampfturbine,Erdgas,14.18,39164,Wanzleben-Börde
SEE936262825863,Ruhrort 4,ruhrort 4,Sonstige Energietraeger (nicht erneuerbar),164.7,47166,Duisburg
SEE937356687909,SKW Hohenwarte 1 Maschine A,skw hohenwarte 1 maschine a,Wasser,29.9,07338,Hohenwarte
SEE939242219362,Huckingen A,huckingen a,Sonstige Energietraeger (nicht erneuerbar),303.0,47259,Duisburg
SEE940012750145,illwerke vkw Rellswerk M1,illwerke vkw rellswerk m1,Pumpspeicher,12.0,A-6773,Vandans
SEE941328262162,Obernach F2,obernach f2,Wasser,6.4,82432,Walchensee
SEE943568591200,Bringhausen M4 F1,bringhausen m4 f1,Pumpspeicher,35.0,34549,Edertal
SEE948541471333,HKW Mitte Gasturbine 2,hkw mitte gasturbine 2,Erdgas,164.0,10179,Berlin
SEE950140538850,Dessau K(Ro)1,dessau k 1,Wasser,3.433,86977,Burggen
SEE950624794208,Lehmen Maschine 1,lehmen maschine 1,Wasser,5.0,56332,Niederfell
SEE943007353727,BHKW 1 Hamburg,bhkw 1 hamburg,Erdgas,1.97,21129,Hamburg
SEE943309807898,GuD Süd DT,gud süd dt,Waerme,71.5,67063,Ludwigshafen
SEE915246106037,Saalachkraftwerk D4,saalachkraftwerk d4,Wasser,2.0025,83435,Bad Reichenhall
SEE918100281437,KWK 7,kwk 7,Erdgas,4.5,84130,Dingolfing
SEE927858822632,Turbinengenerator5-SiemensT8302,turbinengenerator5-siemenst8302,Biomasse,13.212,89584,Ehingen
SEE931158678738,Koblenz Maschine 1,koblenz maschine 1,Wasser,4.0,56073,Koblenz
SEE933592339541,RHR1-A-D1-720-GEN-001-NEA5,rhr1-a-d1-720-gen-001-nea5,Mineraloelprodukte,2.08,53117,Bonn
SEE934298270268,T.A. Lauta,t a lauta,Abfall,15.7,02991,Lauta
SEE956216040883,Turbine 2,turbine 2,Steinkohle,10.2,97424,Schweinfurt
SEE956631893736,F03G1,f03g1,Erdgas,9.0,40589,Düsseldorf
SEE956884287917,Generator 2,generator 2,Erdgas,11.9,67547,Worms
SEE902267138956,Kirchmöser GT 2,kirchmöser gt 2,Erdgas,60.0,14774,Brandenburg
SEE905410926998,FZJ_WVVZ-03.19_BHKW-1,fzj_wvvz-03 19_bhkw-1,Erdgas,4.3,52428,Jülich
SEE905588844841,GuD-Anlage (Dampfturbine),gud-anlage,Erdgas,16.2,63741,Aschaffenburg
SEE909908219982,BESS - DE - ARZBERG - GMRO,bess - de - arzberg - gmro,Batteriespeicher,50.5,95659,Arzberg
SEE961788817153,DT2,dt2,Erdgas,9.156,01987,Schwarzheide
SEE923965645096,AA-TF-03-NEA-002,aa-tf-03-nea-002,Mineraloelprodukte,1.8,13599,Berlin
SEE960507530304,"HKW Pfaffenwald, Generator 50",hkw pfaffenwald generator 50,Erdgas,11.3,70569,Stuttgart
SEE962564048280,HKW Schwarza TS 5,hkw schwarza ts 5,Waerme,7.881,07407,Rudolstadt
SEE962906846994,HKW Schwarza GT 7,hkw schwarza gt 7,Erdgas,4.934,07407,Rudolstadt
SEE965067693100,Kraftwerk DK,kraftwerk dk,Erdgas,20.85,47053,Duisburg
SEE967279432140,GT13800,gt13800,Sonstige Energietraeger (nicht erneuerbar),35.611,50769,Köln
SEE975166535577,Dampfturbine DT4,dampfturbine dt4,Erdgas,8.0,79639,Grenzach-Wyhlen
SEE977812651266,RKI Iffezheim M3,rki iffezheim m3,Wasser,27.0,76473,Iffezheim
SEE934890098444,KW Wyhlen Straflo 02,kw wyhlen straflo 02,Wasser,4.5,79639,Grenzach-Wyhlen
SEE947816911833,Gasturbinenanlage 12,gasturbinenanlage 12,Erdgas,137.0,84489,Burghausen
SEE919393178787,Fenne MKV,fenne mkv,Steinkohle,179.0,66333,Völklingen
SEE920992144554,HKW Mitte GuD BMHKW,hkw mitte gud bmhkw,Erdgas,97.958,38114,Braunschweig
SEE932782707160,Dampfturbine 3,dampfturbine 3,Erdgas,27.5,56727,Mayen
SEE933094075404,UPM Schongau HKW 3 DT,upm schongau hkw 3 dt,Erdgas,30.17,86956,Schongau
SEE956808243722,SEDE607510036,sede607510036,Erdgas,4.472,07546,Gera
SEE957830042178,Turbine 3,turbine 3,Abfall,18.65,51373,Leverkusen
SEE958702894895,SN-Lankow-GUD_1994,sn-lankow-gud_1994,Erdgas,6.0,19057,Schwerin
SEE958847865460,Kraftwerk Zolling,kraftwerk zolling,Steinkohle,472.0,85406,Zolling
SEE960733358116,0065 - STW - BHKW - KWK,0065 - stw - bhkw - kwk,Erdgas,2.419,47906,Kempen
SEE919443669678,GBS KW Fenne,gbs kw fenne,Batteriespeicher,15.0,66333,Völklingen
SEE922519934914,Euskirchen BHKW,euskirchen bhkw,Erdgas,1.178,53879,Euskirchen
SEE923391382282,"Biomethan BHKW Hannover Herrenhausen, Motor 5",biomethan bhkw hannover herrenhausen motor 5,Biomasse,4.5,30419,Hannover
SEE943565217936,Partition_4,partition_4,Batteriespeicher,3.4,04349,Leipzig
SEE943866326672,illwerke vkw Vermuntwerk M2,illwerke vkw vermuntwerk m2,Wasser,85.0,A-6794,Partenen
SEE950688444200,Biomasse-HKW 2 Kehl,biomasse-hkw 2 kehl,Biomasse,2.6,77694,Kehl
SEE951966828576,Turbine VE 32 ZV MVA IN,turbine ve 32 zv mva in,Abfall,7.36,85055,Ingolstadt
SEE905490507995,Q_ESS_Luenen,q_ess_luenen,Batteriespeicher,11.92,44536,Lünen
SEE911507913505,Turbine 2,turbine 2,Erdgas,2.722,93309,Kelheim
SEE902280549463,bnBm GasKW BIB GT3,bnbm gaskw bib gt3,Erdgas,34.4,68647,Biblis
SEE904052511746,PSW Markersbach PSS D,psw markersbach pss d,Pumpspeicher,174.2,08352,Raschau-Markersbach
SEE904653296578,DT_neu,dt_neu,Abfall,2.98,63741,Aschaffenburg
SEE909927513559,KW3 GT31,kw3 gt31,Erdgas,291.3,55120,Mainz
SEE911567250299,Itzehoe GT,itzehoe gt,Mineraloelprodukte,87.0,25588,Oldendorf
SEE915604855232,GuD-Anlage (Gasturbine),gud-anlage,Erdgas,31.552,63741,Aschaffenburg
SEE915883553447,Irsching 5 DT,irsching 5 dt,Erdgas,282.0,85088,Vohburg
SEE937914003899,Spitzenlastkraftwerk Veits Dieseltandem 1,spitzenlastkraftwerk veits dieseltandem 1,Mineraloelprodukte,5.0,87448,Waltenhofen
SEE941176001043,Lehmen Maschiene 3,lehmen maschiene 3,Wasser,5.0,56332,Niederfell
SEE942100679987,Vianden M6,vianden m6,Pumpspeicher,100.0,9463,Stolzembourg
SEE942752513288,DT1,dt1,Biomasse,10.0,59929,Brilon
SEE945580171361,F13G5,f13g5,Erdgas,18.0,40589,Düsseldorf
SEE950895373805,Dampfturbinenanlage DT3,dampfturbinenanlage dt3,Erdgas,34.0,66121,Saarbrücken
SEE955535216191,GTS6,gts6,Erdgas,5.319,49479,Ibbenbüren
SEE956337212497,Dampfturbine I Südzucker Ochsenfurt,dampfturbine i südzucker ochsenfurt,Waerme,13.667,97199,Ochsenfurt
SEE916830465356,BHKW KW5 5A,bhkw kw5 5a,Erdgas,9.93,55120,Mainz
SEE918407219966,GuD Steinitz - HKW 1,gud steinitz - hkw 1,Erdgas,11.6,29410,Salzwedel
SEE920193460095,HKWH Gasturbine 6,hkwh gasturbine 6,Erdgas,5.424,24116,Kiel
SEE960155611554,medl BHKW Broich Modul 3 neu,medl bhkw broich modul 3 neu,Erdgas,2.673,45479,Mülheim
SEE964717210810,Generator 3,generator 3,Erdgas,10.323,65203,Wiesbaden
SEE968136280119,Rheinhafen- Dampfkraftwerk  RDK 4S DT,rheinhafen- dampfkraftwerk rdk 4s dt,Erdgas,114.0,76189,Karlsruhe
SEE970579995963,Scholven 1 DT,scholven 1 dt,Waerme,30.0,45896,Gelsenkirchen
SEE938990134545,MVB Borsigstraße Holz 24,mvb borsigstraße holz 24,Biomasse,20.52,22113,Hamburg
SEE905826160993,Saalachkraftwerk D2,saalachkraftwerk d2,Wasser,1.75,83435,Bad Reichenhall
SEE913199703136,Roßhaupten SKW K2,roßhaupten skw k2,Wasser,22.75,87672,Roßhaupten
SEE913657334902,NEC_WERK_PST_SÜD,nec_werk_pst_süd,Mineraloelprodukte,20.57,74172,Neckarsulm
SEE917943562765,HKW West Block 2,hkw west block 2,Steinkohle,61.5,60327,Frankfurt
SEE934395809149,RADAG M2,radag m2,Wasser,27.94,79774,Albbruck
SEE944354997350,Erdgas BHKW KLA Bottrop Ag. 1,erdgas bhkw kla bottrop ag 1,Erdgas,2.676,46238,Bottrop
SEE946476002431,Turbine 6,turbine 6,Erdgas,20.815,93309,Kelheim
SEE980274382876,RKI Iffezheim M6 Fischpass,rki iffezheim m6 fischpass,Wasser,1.05,76473,Iffezheim
SEE980331579218,Rheinhafen-Dampfkraftwerk RDK 8,rheinhafen-dampfkraftwerk rdk 8,Steinkohle,834.0,76189,Karlsruhe
SEE980608407671,HKW Sandreuth (DT1),hkw sandreuth,Erdgas,15.596,90441,Nürnberg
SEE928983473973,BHKW-G,bhkw-g,Erdgas,1.999,33378,Rheda-Wiedenbrück
SEE931353190974,Kraftwerk Neuötting MS3,kraftwerk neuötting ms3,Wasser,8.7,84524,Neuötting
SEE934292362181,Fernheizwerk 6-BHKW 8,fernheizwerk 6-bhkw 8,Erdgas,1.9758,12059,Berlin
SEE940474876544,Müden Maschine 1,müden maschine 1,Wasser,4.1,56254,Müden
SEE924169304048,Kaufering K(Ro)3,kaufering k 3,Wasser,5.567,86916,Kaufering
SEE924474026383,Motor 5,motor 5,Biomasse,1.048,28870,Ottersberg
SEE927303933470,Nordland GuD-Anlage ND-DTS,nordland gud-anlage nd-dts,Erdgas,3.995,26892,Dörpen
SEE927436598478,Werk 1.5 KWK 4,werk 1 5 kwk 4,Erdgas,3.36,80937,München
SEE930232746332,Scheuring K(Ro)1,scheuring k 1,Wasser,4.067,86937,Scheuring
SEE930595548697,Walchenseekraftwerk D F1,walchenseekraftwerk d f1,Wasser,18.0,82431,Kochel
SEE932907515472,Elsteraue Battery Storage,elsteraue battery storage,Batteriespeicher,13.8,06729,Elsteraue
SEE934591835126,T4,t4,Steinkohle,14.105,24534,Neumünster
SEE901050642113,Heizkraftwerk Dieselstraße Block C,heizkraftwerk dieselstraße block c,Erdgas,57.322,06130,Halle
SEE904662075126,7712MKA10-GT2,7712mka10-gt2,Erdgas,14.885,01454,Wachau
SEE921399860047,GM2,gm2,Erdgas,3.285,83022,Rosenheim
SEE927343891853,DT KLA Bottrop,dt kla bottrop,Biomasse,4.5,46238,Bottrop
SEE937536026146,GuD Marzahn Gasturbine,gud marzahn gasturbine,Erdgas,189.5,12681,Berlin
SEE946069613440,HKW FFO GM1,hkw ffo gm1,Erdgas,10.3584,15236,Frankfurt
SEE916894674336,Gasmotoren-Blockheizkraftwerk II (Generator 3),gasmotoren-blockheizkraftwerk ii,Erdgas,3.772,01468,Moritzburg
SEE924793743626,Gersthofen M5,gersthofen m5,Wasser,1.969,86368,Gersthofen
SEE925648480314,medl BHKW Broich Modul 1,medl bhkw broich modul 1,Biomasse,3.293,45479,Mülheim
SEE929865645150,Turbine 24,turbine 24,Sonstige Energietraeger (nicht erneuerbar),10.4,50769,Köln
SEE934999181948,Unterbergen K(Ro)2,unterbergen k 2,Wasser,4.067,86511,Schmiechen
SEE936922240418,Lehmen Maschine 4,lehmen maschine 4,Wasser,5.0,56332,Niederfell
SEE939429845179,Querdel SKW Biomethan1,querdel skw biomethan1,Biomasse,3.352,48336,Sassenberg
SEE942369834141,Kraftwerk Zanders Paper GmbH,kraftwerk zanders paper gmbh,Erdgas,21.06,51465,Bergisch Gladbach
SEE957163765348,Generator 3,generator 3,Sonstige Energietraeger (nicht erneuerbar),13.4,50997,Köln
SEE901789931854,SWM HKW Sued GuD1 GT2,swm hkw sued gud1 gt2,Erdgas,97.9,81371,München
SEE902686859227,Generator 2,generator 2,Erdgas,14.9,29525,Uelzen
SEE908125004449,Boxberg Block P,boxberg block p,Braunkohle,500.0,02943,Boxberg
SEE917303295586,"Motor-Heizkraftwerk Chemnitz-Süd, Motor 4",motor-heizkraftwerk chemnitz-süd motor 4,Erdgas,12.7314,09125,Chemnitz
SEE920672219015,Generator 5,generator 5,Braunkohle,9.8,49090,Osnabrück
SEE930248546148,Landau K1,landau k1,Wasser,4.2,94431,Pilsting
SEE970667868155,Gasturbine 13,gasturbine 13,Erdgas,60.0,24939,Flensburg
SEE972526098451,Heizkraftwerk an der Friedensbrücke DampfturbineIII,heizkraftwerk an der friedensbrücke dampfturbineiii,Erdgas,23.0,97080,Würzburg
SEE972922507168,BHKW Hastedt Motor 01,bhkw hastedt motor 01,Erdgas,11.6794,28207,Bremen
SEE979394589432,Aufkirchen E F2,aufkirchen e f2,Wasser,9.0,85445,Oberding
SEE979426528330,BHKW Neu-Ulm M2,bhkw neu-ulm m2,Erdgas,2.622,89231,Neu-Ulm
SEE918714025250,illwerke vkw Kopswerk I M1,illwerke vkw kopswerk i m1,Wasser,96.0,A-6793,Gaschurn
SEE921503407342,Turbine/Generator 10,turbine generator 10,Erdgas,37.6,84489,Burghausen
SEE924286409503,IKW Rüdersdorf,ikw rüdersdorf,Abfall,30.0,15562,Rüdersdorf
SEE933265744528,Hemfurth F1,hemfurth f1,Wasser,10.0,34549,Edertal
SEE936042422251,GT,gt,Erdgas,16.871,41460,Neuss
SEE936411567903,WKW Rudolf-Fettweis-Werk Murgwerk M4,wkw rudolf-fettweis-werk murgwerk m4,Wasser,4.4,76596,Forbach
SEE936473203580,Gasmotor 2 Jena,gasmotor 2 jena,Erdgas,12.175,07745,Jena
SEE937544161082,EBS Heizkraftwerk Spremberg,ebs heizkraftwerk spremberg,Abfall,17.5,03130,Spremberg
SEE953815288937,BESS Immenstadt,bess immenstadt,Batteriespeicher,15.8,87509,Immenstadt
SEE957496380690,Gasturbinenkraftwerk Thyrow GT B,gasturbinenkraftwerk thyrow gt b,Erdgas,37.104,15806,Zossen
SEE966331411864,Kraftwerk Lippendorf Block R,kraftwerk lippendorf block r,Braunkohle,891.0,04575,Neukieritzsch
SEE923223371170,Vohburg E K1,vohburg e k1,Wasser,7.76,85088,Vohburg
SEE925878652192,Enkirch Maschine 1,enkirch maschine 1,Wasser,4.6,56850,Enkirch
SEE911097916719,Gasturbine Model Sachsen Papier,gasturbine model sachsen papier,Erdgas,30.6493,04838,Eilenburg
SEE912994271871,Hamborn 3,hamborn 3,Sonstige Energietraeger (nicht erneuerbar),59.6,47166,Duisburg
SEE914740925915,MOT 2,mot 2,Erdgas,10.285,75175,Pforzheim
SEE915666168653,MHKW  Pirmasens Verbrennung II,mhkw pirmasens verbrennung ii,Abfall,16.4,66954,Pirmasens
SEE915966254872,Hamborn 5,hamborn 5,Sonstige Energietraeger (nicht erneuerbar),225.0,47166,Duisburg
SEE919286948329,Kraftwerk GRI,kraftwerk gri,Erdgas,7.8,85092,Kösching
SEE927716043575,MVA EEW Hannover,mva eew hannover,Abfall,27.2,30659,Hannover
SEE931261988564,KW Wyhlen Straflo 01,kw wyhlen straflo 01,Wasser,4.5,79639,Grenzach-Wyhlen
SEE946556052639,GSH Green Steam Hürth GmbH,gsh green steam hürth gmbh,Biomasse,18.3,50354,Hürth
SEE953605889740,Batteriespeicher Herrenhausen,batteriespeicher herrenhausen,Batteriespeicher,14.0,30419,Hannover
SEE923304040681,Gersteinwerk F GT (F1),gersteinwerk f gt,Erdgas,55.0,59368,Werne
SEE942841758538,illwerke vkw Kopswerk II M2,illwerke vkw kopswerk ii m2,Pumpspeicher,175.0,A-6793,Gaschurn
SEE945779125267,Pfreimd T2,pfreimd t2,Wasser,3.3,92723,Tännesberg
SEE957189569340,illwerke vkw Kopswerk II M3,illwerke vkw kopswerk ii m3,Pumpspeicher,175.0,A-6793,Gaschurn
SEE962376547568,KW Rheinfelden Maschine 4,kw rheinfelden maschine 4,Wasser,22.9,4310,Rheinfelden
SEE922145299326,KWK-Modul 13 Gotha West,kwk-modul 13 gotha west,Erdgas,1.984,99867,Gotha
SEE928382664095,KWK Neumarkt,kwk neumarkt,Biomasse,3.0,92318,Neumarkt
SEE929405778768,Enkirch Maschine 2,enkirch maschine 2,Wasser,4.6,56850,Enkirch
SEE932989146397,NEZ Adlershof Modul 4,nez adlershof modul 4,Erdgas,1.97,12489,Berlin
SEE944095305490,Heizkraftwerk an der Friedensbrücke GasturbineII,heizkraftwerk an der friedensbrücke gasturbineii,Erdgas,30.0,97080,Würzburg
SEE946029200710,Dampfturbine 2,dampfturbine 2,Erdgas,8.13,79106,Freiburg
SEE920801236685,"Kraftwerk VII, Block 71, DT710",kraftwerk vii block 71 dt710,Erdgas,36.23,45772,Marl
SEE920847840785,SWM Uppenborn 1 Gen3,swm uppenborn 1 gen3,Wasser,8.8,85368,Wang
SEE924343365650,W050-TS_Mercedes-Benz Werk Sindelfingen HKW Gasturbine 1,w050-ts_mercedes-benz werk sindelfingen hkw gasturbine 1,Erdgas,29.941,71063,Sindelfingen
SEE926693191903,Pfrombach D F4,pfrombach d f4,Wasser,4.38,85368,Moosburg
SEE926900618322,Sermuth BHKW 1,sermuth bhkw 1,Mineraloelprodukte,5.7,04680,Colditz
SEE927168175756,Pumpspeicherwerk Rönkhausen PSW1,pumpspeicherwerk rönkhausen psw1,Pumpspeicher,69.0,57413,Finnentrop
SEE927582792126,BESS Leuna 2,bess leuna 2,Batteriespeicher,46.332,06217,Merseburg
SEE930982693153,Knapsack I - Gasturbine  GT11,knapsack i - gasturbine gt11,Erdgas,295.0,50354,Hürth
SEE939211785720,Dampfgeneratorturbine 1,dampfgeneratorturbine 1,Erdgas,7.8,84489,Burghausen
SEE914438115895,Heizkraftwerk Dieselstraße Block A,heizkraftwerk dieselstraße block a,Erdgas,56.845,06130,Halle
SEE922518617825,Biomasse-HKW 1 Kehl,biomasse-hkw 1 kehl,Biomasse,7.94,77694,Kehl
SEE923597137761,DT1,dt1,Waerme,1.31,25541,Brunsbüttel
SEE925158531827,Heizkraftwerk Dieselstraße NEA,heizkraftwerk dieselstraße nea,Erdgas,1.541,06130,Halle
SEE931406146903,LBG-1/599,lbg-1 599,Sonstige Energietraeger (nicht erneuerbar),15.0,45896,Gelsenkirchen
SEE931485815622,SWM Uppenborn 2 Gen2,swm uppenborn 2 gen2,Wasser,6.0,84184,Tiefenbach
SEE935253303649,BMW Landshut KWK 6,bmw landshut kwk 6,Erdgas,4.3,84030,Landshut
SEE935645540645,KW Wyhlen Francis 07,kw wyhlen francis 07,Wasser,2.166,79639,Grenzach-Wyhlen
SEE927477486369,Scheuring K(Ro)3,scheuring k 3,Wasser,4.067,86937,Scheuring
SEE941844408532,Großkayna GT2,großkayna gt2,Mineraloelprodukte,45.625,06242,Großkayna
SEE943210695102,DT30 GuD Süd Wolfsburg,dt30 gud süd wolfsburg,Waerme,36.2,38440,Wolfsburg
SEE944172882906,Biogas BHKW Südzucker Rain,biogas bhkw südzucker rain,Biomasse,1.364,86641,Rain
SEE947227591686,KW Laufenburg Maschine 7,kw laufenburg maschine 7,Wasser,10.442,5080,Laufenburg
SEE955634700423,WKW Säckingen M2,wkw säckingen m2,Wasser,23.0,79713,Bad Säckingen
SEE957229968300,Niederaußem H,niederaußem h,Braunkohle,648.0,50129,Bergheim
SEE959025997980,Gasturbine 3 Jena,gasturbine 3 jena,Erdgas,39.0,07745,Jena
SEE961660070034,Block 4 Merkenich RheinEnergie,block 4 merkenich rheinenergie,Erdgas,15.5,50769,Köln
SEE926027902403,P16,p16,Erdgas,2.3,68167,Mannheim
SEE926313104276,"Kraftwerk VI, Block 62, GT621",kraftwerk vi block 62 gt621,Erdgas,55.014,45772,Marl
SEE926356200836,Prüfstand 4,prüfstand 4,Erdgas,3.95,86165,Augsburg
SEE927766801477,PKV Dampfsammelschienen-KWK-Anlage Generator / Turbine DT 11,pkv dampfsammelschienen-kwk-anlage generator turbine dt 11,Waerme,3.647,26316,Varel
SEE933647139935,Geisling K1,geisling k1,Wasser,8.333,93102,Pfatter
SEE933745405604,PSW Hohenwarte 2 PSS E,psw hohenwarte 2 pss e,Pumpspeicher,39.7,07338,Hohenwarte
SEE935147494255,Batteriespeicher Herdecke 2,batteriespeicher herdecke 2,Batteriespeicher,6.08,58313,Herdecke
SEE935809614632,IPH Strom GT4,iph strom gt4,Erdgas,6.153,65929,Frankfurt
SEE925692039025,Schnellanlaufturbine (Howden),schnellanlaufturbine,Waerme,1.099,89584,Ehingen
SEE954482465522,Batterie Hessisch Lichtenau,batterie hessisch lichtenau,Batteriespeicher,12.0,37235,Hessisch Lichtenau
SEE955292024220,MKW SAD Turbine 4,mkw sad turbine 4,Abfall,10.0,92421,Schwandorf
SEE956217502250,GGT HO A,ggt ho a,Sonstige Energietraeger (nicht erneuerbar),8.0,38239,Salzgitter
SEE957285549260,Dampfturbine 9,dampfturbine 9,Steinkohle,32.9,24939,Flensburg
SEE961328936443,BHKW Obere Viehweide M2 (Waldhäuser Str 100),bhkw obere viehweide m2,Erdgas,3.286,72076,Tübingen
SEE961687984079,"HKW Pfaffenwald, Generator 41",hkw pfaffenwald generator 41,Erdgas,4.9,70569,Stuttgart
SEE967844487346,Heizkraftwerk an der Friedensbrücke GasturbineI,heizkraftwerk an der friedensbrücke gasturbinei,Erdgas,51.0,97080,Würzburg
SEE968474056711,Generator 6,generator 6,Erdgas,21.861,65203,Wiesbaden
SEE923412553844,GuD Anlage DREWSEN Spezialpapiere (Dampfturbine),gud anlage drewsen spezialpapiere,Erdgas,9.0,29331,Lachendorf
SEE923729511377,BHKW2 Chemnitzer Straße 40,bhkw2 chemnitzer straße 40,Erdgas,4.313,09599,Freiberg
SEE923959807806,Turbine 3,turbine 3,Abfall,11.14,68169,Mannheim
SEE925333539921,Koepchenwerk Bl.,koepchenwerk bl,Pumpspeicher,162.0,58313,Herdecke
SEE932713248328,BMKW Wicker,bmkw wicker,Biomasse,12.712,65439,Flörsheim
SEE933095868289,Batteriespeicherkraftwerk,batteriespeicherkraftwerk,Batteriespeicher,15.0,24582,Bordesholm
SEE937878572653,Langenprozelten E F2,langenprozelten e f2,Pumpspeicher,82.0,97737,Gemünden
SEE933741679870,Dampfturbineneinheit 1,dampfturbineneinheit 1,Abfall,2.8,42655,Solingen
SEE936690179729,BHKW1(GKWK-MA-0015),bhkw1,Erdgas,4.101,68305,Mannheim
SEE918916993708,Wolfen GT,wolfen gt,Erdgas,50.0,06766,Bitterfeld-Wolfen
SEE919296928137,Sammelschienen-Kraftwerk Gas- und Dampfturbinen,sammelschienen-kraftwerk gas- und dampfturbinen,Erdgas,112.719,63906,Erlenbach
